original	gatherings	width	height	obl	n
42 x 15 cm.	NA	NA	NA	NA	2
42 x 28 cm.	NA	NA	NA	NA	2
42 x 36 cm.	NA	NA	NA	NA	2
43 x 14 cm.	NA	NA	NA	NA	2
43 x 17 cm.	NA	NA	NA	NA	2
43 x 18 cm.	NA	NA	NA	NA	2
43 x 19 cm.	NA	NA	NA	NA	2
43-51 cm.	NA	NA	NA	0	2
44 x 25 cm.	NA	NA	NA	NA	2
44 x 29 cm.	NA	NA	NA	NA	2
44 x 31 cm.	NA	NA	NA	NA	2
44 x 32 cm.	NA	NA	NA	NA	2
44-50 cm.	NA	NA	NA	0	2
44-54 cm.	NA	NA	NA	0	2
44-68 cm.	NA	NA	NA	0	2
45 x 20 cm.	NA	NA	NA	NA	2
45 x 32 cm.	NA	NA	NA	NA	2
46 x 17 cm.	NA	NA	NA	NA	2
46 x 26 cm.	NA	NA	NA	NA	2
46 x 31 cm.	NA	NA	NA	NA	2
46-51 cm.	NA	NA	NA	0	2
47 x 19 cm.	NA	NA	NA	NA	2
47 x 29 cm.	NA	NA	NA	NA	2
47 x 40 cm.	NA	NA	NA	NA	2
47-49 cm.	NA	NA	NA	0	2
47-51 cm.	NA	NA	NA	0	2
47-56 cm.	NA	NA	NA	0	2
48 x 16 cm.	NA	NA	NA	NA	2
48-50 cm.	NA	NA	NA	0	2
49 x 29 cm.	NA	NA	NA	NA	2
49 x 40 cm.	NA	NA	NA	NA	2
49 x 43 cm.	NA	NA	NA	NA	2
49-53 cm.	NA	NA	NA	0	2
4�	NA	NA	NA	0	2
50 x 36 cm.	NA	NA	NA	NA	2
50 x 37 cm.	NA	NA	NA	NA	2
5⁰.	NA	NA	NA	0	2
51 x 20 cm.	NA	NA	NA	NA	2
51-52 cm.	NA	NA	NA	0	2
51-57 cm.	NA	NA	NA	0	2
52 x 20 cm.	NA	NA	NA	NA	2
52 x 43 cm.	NA	NA	NA	NA	2
53 x 33 cm.	NA	NA	NA	NA	2
